iter	Passed	Remaining
0	17	17506
1	34	17058
2	52	17524
3	70	17478
4	86	17142
5	103	17158
6	121	17240
7	138	17149
8	155	17166
9	172	17036
10	191	17174
11	211	17453
12	230	17509
13	247	17399
14	263	17299
15	280	17268
16	298	17285
17	316	17275
18	332	17186
19	348	17077
20	365	17026
21	382	16981
22	406	17280
23	425	17323
24	444	17333
25	461	17273
26	477	17214
27	496	17232
28	515	17258
29	534	17274
30	553	17309
31	571	17290
32	587	17217
33	605	17216
34	627	17303
35	645	17289
36	664	17285
37	681	17248
38	703	17324
39	720	17298
40	737	17257
41	754	17219
42	772	17186
43	789	17159
44	807	17133
45	827	17164
46	844	17113
47	866	17188
48	886	17196
49	902	17149
50	918	17096
51	936	17068
52	954	17048
53	971	17013
54	984	16917
55	1001	16878
56	1015	16794
57	1025	16662
58	1038	16561
59	1050	16458
60	1062	16355
61	1080	16347
62	1094	16275
63	1106	16184
64	1119	16108
65	1132	16027
66	1143	15930
67	1154	15824
68	1169	15774
69	1182	15716
70	1195	15645
71	1206	15546
72	1231	15640
73	1244	15572
74	1255	15485
75	1267	15413
76	1280	15344
77	1294	15306
78	1311	15284
79	1321	15198
80	1333	15128
81	1346	15077
82	1360	15027
83	1371	14951
84	1385	14909
85	1397	14850
86	1409	14794
87	1420	14719
88	1431	14656
89	1444	14607
90	1456	14552
91	1474	14550
92	1493	14568
93	1512	14577
94	1524	14523
95	1539	14496
96	1550	14433
97	1562	14381
98	1574	14330
99	1588	14293
100	1600	14248
101	1619	14259
102	1630	14200
103	1643	14158
104	1655	14113
105	1666	14055
106	1681	14029
107	1693	13986
108	1706	13948
109	1719	13908
110	1731	13864
111	1745	13836
112	1759	13808
113	1771	13768
114	1784	13731
115	1795	13680
116	1807	13644
117	1820	13605
118	1833	13573
119	1844	13526
120	1856	13486
121	1869	13454
122	1881	13416
123	1895	13392
124	1911	13380
125	1923	13341
126	1935	13305
127	1949	13278
128	1963	13254
129	1980	13255
130	1991	13209
131	2005	13189
132	2020	13171
133	2035	13155
134	2049	13131
135	2063	13109
136	2074	13066
137	2086	13035
138	2100	13009
139	2112	12977
140	2124	12944
141	2137	12914
142	2149	12883
143	2168	12890
144	2180	12858
145	2192	12824
146	2204	12794
147	2216	12762
148	2229	12731
149	2240	12696
150	2251	12657
151	2262	12625
152	2276	12602
153	2286	12563
154	2299	12533
155	2311	12503
156	2323	12474
157	2333	12438
158	2346	12410
159	2359	12387
160	2373	12370
161	2387	12351
162	2398	12316
163	2414	12307
